
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,ATL,NBA,PG,71,3,10.1,1.3,3.2,.396,0.1,0.5,.219,1.2,2.7,.426,.412,0.6,0.7,.837,0.1,0.9,0.9,1.7,0.5,0.2,0.7,1.2,3.2
2010-11,22,ATL,NBA,PG,70,7,13.8,1.9,4.3,.438,0.3,0.7,.375,1.6,3.7,.449,.467,1.1,1.4,.794,0.2,1.3,1.5,2.0,0.6,0.4,0.9,1.2,5.2
2011-12,23,ATL,NBA,PG,66,66,33.1,4.8,10.2,.476,0.8,2.3,.342,4.1,7.9,.514,.514,2.1,2.8,.757,0.3,2.1,2.4,4.9,1.6,0.6,2.0,2.2,12.6
2012-13,24,ATL,NBA,PG,80,78,32.9,5.5,12.2,.451,1.1,3.1,.359,4.4,9.1,.482,.496,2.5,2.8,.881,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6
2013-14,25,ATL,NBA,PG,79,79,32.2,5.8,13.2,.438,0.9,2.8,.329,4.8,10.3,.469,.474,4.0,4.8,.846,0.4,2.2,2.6,6.7,1.1,0.2,2.9,2.0,16.5
2014-15 ★,26,ATL,NBA,PG,73,72,30.5,5.6,12.2,.460,1.0,2.8,.343,4.6,9.3,.496,.500,3.8,4.4,.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,15.9
2015-16,27,ATL,NBA,PG,47,46,28.4,5.1,11.9,.430,1.2,2.9,.401,4.0,9.0,.439,.479,3.4,4.0,.856,0.4,2.1,2.6,5.5,1.3,0.3,2.7,2.2,14.9
Career,,,NBA,,486,351,25.9,4.3,9.6,.447,0.8,2.2,.349,3.5,7.4,.476,.486,2.5,3.0,.841,0.3,1.8,2.1,5.1,1.2,0.3,2.1,1.8,11.8
