
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,22,POR,NBA,PG,82,3167,16.4,.546,.391,.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,,5.1,0.7,5.8,.088,,2.7,-2.4,0.3,1.9
2013-14 ★,23,POR,NBA,PG,82,2937,18.6,.568,.425,.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,,7.8,1.8,9.6,.157,,4.4,-1.7,2.7,3.5
2014-15 ★,24,POR,NBA,PG,82,2925,20.7,.560,.421,.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,,7.3,3.3,10.6,.174,,5.0,0.0,5.1,5.2
2015-16,25,POR,NBA,PG,55,1974,23.1,.561,.410,.301,1.9,10.9,6.4,34.4,1.4,0.7,12.3,31.5,,6.1,1.4,7.5,.182,,6.4,-1.8,4.6,3.3
Career,,,NBA,,301,11003,19.3,.559,.412,.292,1.6,9.8,5.8,28.9,1.3,0.5,12.8,26.4,,26.2,7.2,33.5,.146,,4.5,-1.5,3.0,13.9
