
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1981-82 ★,20,DET,NBA,PG,72,2433,14.5,.487,.055,.402,2.5,7.1,4.7,32.6,2.8,0.4,19.2,25.0,,-0.2,2.5,2.3,.046,,-0.2,-0.9,-1.0,0.6
1982-83 ★,21,DET,NBA,PG,81,3093,18.9,.525,.081,.337,3.5,7.7,5.5,30.3,2.9,0.5,15.6,26.1,,4.5,3.0,7.4,.115,,3.1,-0.7,2.4,3.4
1983-84 ★,22,DET,NBA,PG,82,3007,20.9,.520,.045,.365,3.5,8.2,5.8,41.5,3.1,0.6,15.4,25.4,,5.7,3.4,9.1,.144,,4.2,0.0,4.3,4.7
1984-85 ★,23,DET,NBA,PG,81,3089,22.2,.529,.080,.350,3.7,8.7,6.1,47.9,2.8,0.4,15.7,24.0,,7.5,3.6,11.2,.173,,5.2,0.0,5.2,5.6
1985-86 ★,24,DET,NBA,PG,77,2790,21.2,.554,.067,.370,3.1,7.6,5.3,40.7,2.8,0.4,16.6,24.4,,6.1,2.7,8.8,.151,,4.5,-0.5,4.0,4.3
1986-87 ★,25,DET,NBA,PG,81,3013,18.8,.528,.072,.385,3.0,8.2,5.7,39.3,2.4,0.4,17.8,25.9,,3.8,3.8,7.6,.121,,2.8,0.2,3.0,3.8
1987-88 ★,26,DET,NBA,PG,81,2927,18.2,.521,.072,.294,2.5,8.0,5.3,35.0,2.4,0.3,15.3,25.4,,3.8,3.7,7.6,.124,,2.4,0.1,2.5,3.3
1988-89 ★,27,DET,NBA,PG,80,2924,17.1,.528,.099,.286,2.0,8.3,5.3,34.3,2.3,0.4,17.7,24.6,,3.1,3.9,7.0,.115,,1.7,0.5,2.2,3.1
1989-90 ★,28,DET,NBA,PG,81,2993,17.3,.501,.103,.285,2.8,8.9,5.9,39.4,2.4,0.4,17.8,26.0,,2.1,4.6,6.7,.107,,1.6,0.9,2.5,3.4
1990-91 ★,29,DET,NBA,PG,48,1657,17.4,.507,.098,.344,2.4,8.7,5.5,42.6,2.4,0.4,19.5,25.2,,1.1,2.3,3.4,.098,,1.6,0.2,1.8,1.6
1991-92 ★,30,DET,NBA,PG,78,2918,16.0,.505,.068,.299,2.7,6.9,4.8,31.3,2.1,0.3,15.0,25.3,,2.4,3.4,5.8,.095,,1.0,-0.2,0.8,2.1
1992-93 ★,31,DET,NBA,PG,79,2922,15.4,.488,.157,.300,2.6,6.4,4.4,35.6,2.2,0.4,16.6,25.1,,1.4,2.3,3.7,.061,,1.0,-0.8,0.2,1.6
1993-94,32,DET,NBA,PG,58,1750,15.2,.488,.165,.338,2.9,7.3,5.0,36.7,2.0,0.2,18.7,27.0,,-0.2,0.4,0.2,.007,,0.3,-2.4,-2.0,0.0
Career,,,NBA,,979,35516,18.1,.516,.086,.334,2.9,7.8,5.3,37.4,2.5,0.4,16.8,25.3,,41.2,39.5,80.7,.109,,2.4,-0.2,2.2,37.5
