
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,21,GSW,NBA,PG,80,2896,16.3,.568,.332,.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,,3.0,1.6,4.7,.077,,1.8,-0.7,1.0,2.2
2010-11,22,GSW,NBA,PG,74,2489,19.4,.595,.325,.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,,5.4,1.3,6.6,.128,,3.5,-1.6,1.9,2.4
2011-12,23,GSW,NBA,PG,26,732,21.2,.605,.409,.159,2.3,11.3,6.8,32.3,2.8,0.8,17.0,24.0,,1.8,0.4,2.2,.144,,4.7,-1.3,3.4,1.0
2012-13,24,GSW,NBA,PG,78,2983,21.3,.589,.432,.210,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,,8.4,2.8,11.2,.180,,6.3,-0.9,5.4,5.6
2013-14 ★,25,GSW,NBA,PG,78,2846,24.1,.610,.445,.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,,9.3,4.0,13.4,.225,,7.4,0.0,7.4,6.7
2014-15 ★,26,GSW,NBA,PG,80,2613,28.0,.638,.482,.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,,11.5,4.1,15.7,.288,,9.6,0.3,9.9,7.9
2015-16 ★,27,GSW,NBA,PG,56,1897,32.9,.685,.549,.271,3.0,13.2,8.4,34.1,3.0,0.5,13.1,32.7,,10.6,2.8,13.4,.340,,13.2,0.1,13.3,7.3
Career,,,NBA,,472,16456,23.0,.614,.430,.227,2.2,11.1,6.7,32.6,2.5,0.5,15.1,26.6,,50.0,17.1,67.2,.196,,6.5,-0.6,6.0,33.1
