
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,20,WAS,NBA,PG,69,2606,15.8,.494,.118,.404,1.5,12.8,6.9,36.0,2.4,1.0,18.6,23.8,,0.3,1.9,2.2,.041,,0.0,-0.2,-0.2,1.2
2011-12,21,WAS,NBA,PG,66,2386,17.7,.502,.047,.450,2.2,12.0,7.1,36.9,2.1,1.8,19.2,24.9,,1.7,1.9,3.5,.071,,0.5,0.1,0.6,1.6
2012-13,22,WAS,NBA,PG,49,1602,20.8,.521,.061,.416,2.4,11.2,6.8,43.9,2.1,1.8,15.3,29.3,,2.2,2.2,4.5,.134,,2.5,0.9,3.4,2.2
2013-14 ★,23,WAS,NBA,PG,82,2980,19.5,.524,.230,.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,,4.0,4.0,7.9,.128,,2.4,0.2,2.6,3.4
2014-15 ★,24,WAS,NBA,PG,79,2837,19.9,.523,.186,.310,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,,3.6,4.2,7.8,.132,,2.4,1.1,3.5,3.9
2015-16 ★,25,WAS,NBA,PG,60,2157,20.4,.513,.248,.260,1.8,13.3,7.4,45.6,2.7,1.8,17.1,28.8,,2.0,2.6,4.6,.101,,2.5,0.8,3.4,2.9
Career,,,NBA,,405,14568,18.9,.514,.160,.346,1.8,12.4,7.0,41.3,2.4,1.4,17.6,26.5,,13.8,16.7,30.5,.100,,1.7,0.5,2.2,15.2
