
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,OKC,NBA,PG,82,2668,15.2,.489,.118,.391,7.6,9.7,8.6,27.5,2.1,0.4,17.6,25.8,,-0.1,2.0,1.9,.035,,0.1,-0.2,-0.1,1.3
2009-10,21,OKC,NBA,PG,82,2813,17.8,.491,.090,.364,6.0,10.3,8.2,38.6,2.0,0.9,16.6,25.7,,2.7,3.4,6.1,.105,,1.4,0.6,2.1,2.9
2010-11 ★,22,OKC,NBA,PG,82,2847,23.6,.538,.074,.454,5.2,10.3,7.8,42.7,2.8,0.8,15.9,31.6,,6.3,3.1,9.4,.159,,4.4,0.5,5.0,5.0
2011-12 ★,23,OKC,NBA,PG,66,2331,22.9,.538,.155,.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,,5.5,2.4,7.9,.163,,3.7,-0.5,3.2,3.0
2012-13 ★,24,OKC,NBA,PG,82,2861,23.9,.532,.195,.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,,7.7,3.9,11.6,.195,,4.7,0.3,5.0,5.1
2013-14,25,OKC,NBA,PG,46,1412,24.7,.545,.271,.370,4.6,15.9,10.5,40.2,3.1,0.4,16.1,34.4,,3.0,2.3,5.2,.178,,5.2,1.2,6.4,3.0
2014-15 ★,26,OKC,NBA,PG,67,2302,29.1,.536,.196,.445,5.9,16.7,11.4,47.0,3.0,0.5,14.3,38.4,,7.5,3.2,10.6,.222,,8.8,2.2,11.0,7.6
2015-16 ★,27,OKC,NBA,PG,61,2111,28.8,.559,.220,.385,6.0,17.3,11.9,49.6,3.2,0.5,16.1,32.1,,8.4,3.0,11.4,.260,,8.2,2.2,10.4,6.6
Career,,,NBA,,568,19345,22.9,.529,.161,.391,5.7,12.2,9.1,38.9,2.6,0.6,15.4,31.3,,41.1,23.3,64.4,.160,,4.3,0.7,5.1,34.4
